FuelModels.description,ros_fullcure,intensity_BTU_ft_fullcure,intensity_kW_m_fullcure,fl_m_fullcure,ros_km_hr_fullcure,ros_two3rdcured,intensity_BTU_ft_two3rdcured,intensity_kW_m_two3rdcured,fl_m_two3rdcured,ros_km_hr_two3rdcured,ros_one3rdcured,intensity_BTU_ft_one3rdcured,intensity_kW_m_one3rdcured,fl_m_one3rdcured,ros_km_hr_one3rdcured,ros_uncured,intensity_BTU_ft_uncured,intensity_kW_m_uncured,fl_m_uncured,ros_km_hr_uncured
201A,8.87,98.83020587,0.095027124,1.137210253,0.5322,6.16,68.63518243,0.065994034,0.961618985,0.3696,3.25,36.21174398,0.034818281,0.716575982,0.195,1.36,15.15322209,0.014570111,0.479980727,0.0816
201G,11.88,321.5313996,0.309158559,1.956655033,0.7128,8.7,235.4649139,0.226403995,1.695420999,0.522,5.05,136.6779098,0.131418411,1.320117948,0.303,2.65,71.72207147,0.068962137,0.981277416,0.159
202A,8.99,165.3591829,0.158996001,1.441015097,0.5394,5.75,105.7636598,0.101693771,1.173238433,0.345,2.68,49.29506232,0.04739814,0.825811788,0.1608,0.87,16.00250157,0.01538671,0.492173163,0.0522
202G,12.68,81.74575175,0.078600096,1.042138626,0.7608,8.53,54.99142448,0.052875301,0.868414749,0.5118,4.24,27.33454159,0.026282682,0.629620602,0.2544,0.76,4.899587644,0.004711047,0.285538641,0.0456
203A,10.88,119.4167168,0.114821446,1.240627669,0.6528,7.7,84.51366903,0.081261501,1.058224725,0.462,4.2,46.09836492,0.044324455,0.800731373,0.252,2.11,23.15894047,0.022267762,0.583394191,0.1266
203G,14.75,234.6999001,0.22566842,1.692884937,0.885,9.45,150.3670547,0.144580784,1.379373072,0.567,4.39,69.85305503,0.067165042,0.969430749,0.2634,0.42,6.682980208,0.006425813,0.329365256,0.0252
204A,1.68,25.16807478,0.024199583,0.60615334,0.1008,1.1,16.47909658,0.015844965,0.498862511,0.066,0.53,7.939928353,0.007634392,0.356539075,0.0318,0.07,1.048669783,0.001008316,0.140502914,0.0042
204G,2.39,55.59239613,0.053453147,0.87276754,0.1434,1.15,26.74947931,0.025720133,0.623385301,0.069,0.55,12.79322923,0.012300933,0.444019852,0.033,0,0,0,0,0
205A,4.39,62.26059481,0.059864747,0.919453153,0.2634,3.43,48.64552169,0.046773595,0.820788424,0.2058,2.23,31.62668028,0.030409655,0.673311705,0.1338,1.34,19.0043729,0.018273066,0.532677232,0.0804
205G,13.25,588.8098138,0.56615184,2.584520748,0.795,9.67,429.7200679,0.413184022,2.235923276,0.5802,5.57,247.5223142,0.237997415,1.734818755,0.3342,2.91,129.3159667,0.124339763,1.286919833,0.1746
206A,21.5,463.7964222,0.445949086,2.315805632,1.29,13.21,284.9651506,0.273999415,1.850954361,0.7926,5.69,122.7442624,0.118020944,1.256411945,0.3414,0.15,3.235788992,0.003111273,0.235929579,0.009
