"plotFuelModels.description","heat_BTU_lb","load_lb_ft2"
"201A",7261.38610433496,0.0280616206634431
"201G",7261.38610433496,0.068163772722755
"202A",7261.38610433496,0.0463249858519597
"202G",7261.38610433496,0.0162365071404235
"203A",7261.38610433496,0.0276428553076193
"203G",7261.38610433496,0.0400744484554277
"204A",7261.38610433496,0.0377300502243621
"204G",7261.38610433496,0.0585819955786339
"205A",7261.38610433496,0.0357186811175301
"205G",7261.38610433496,0.111919517962033
"206A",7261.38610433496,0.0543294869138145
"206G",7261.38610433496,0.0602380429842151
"207A",7261.38610433496,0.0265856068667796
"207G",7261.38610433496,0.0557921182865295
"208A",7261.38610433496,0.0388844142152835
"208G",7261.38610433496,0.026028081951426
"209A",7261.38610433496,0.056614385170741
"209G",7261.38610433496,0.0643814659462779
"210A",7261.38610433496,0.028481783728087
"210G",7261.38610433496,0.0191687033547944
"211A",7261.38610433496,0.0208830912477762
"211G",7261.38610433496,0.103771640346423
"212A",7261.38610433496,0.0160065181090898
"212G",7261.38610433496,0.0646448763210849
"213A",7261.38610433496,0.0415883444581651
"213G",7261.38610433496,0.0287315483873232
"214A",7261.38610433496,0.0439960426855045
"214G",7261.38610433496,0.0312756571336517
"215A",7261.38610433496,0.0406788482914584
"215G",7261.38610433496,0.060701318469786
"216A",7261.38610433496,0.043391209457741
"216G",7261.38610433496,0.0662417822838259
"217A",7261.38610433496,0.0280460820541787
"217G",7261.38610433496,0.0352179366636737
"218A",7261.38610433496,0.0897634207943144
"218G",7261.38610433496,0.0858252930997444
"219A",7261.38610433496,0.12885184607758
"219G",7261.38610433496,0.0928494482982474
"220A",7261.38610433496,0.0439807798821509
"220G",7261.38610433496,0.0270559897514708
"221A",7261.38610433496,0.039576423759993
"221G",7261.38610433496,0.042418018367568
"222A",7261.38610433496,0.0373454673920852
"222G",7261.38610433496,0.0537561512290195
"223A",7261.38610433496,0.0295161610671986
"223G",7261.38610433496,0.120235848881629
"224A",7261.38610433496,0.0478797512276268
"224G",7261.38610433496,0.0473843238922681
"225A",7261.38610433496,0.0464644598729174
"225G",7261.38610433496,0.108147130080412
"226A",7261.38610433496,0
"226G",7261.38610433496,0.0085153820485901
"227A",7261.38610433496,0
"227G",7261.38610433496,0
"228A",7261.38610433496,0.0188990537775665
"228G",7261.38610433496,0
"229A",7261.38610433496,0.00685058883470712
"229G",7261.38610433496,0
"230A",7261.38610433496,0
"230G",7261.38610433496,0.00685401709439645
"231A",7261.38610433496,0.00685920337610829
"231G",7261.38610433496,0.0155834745665096
"232A",7261.38610433496,0
"232G",7261.38610433496,0.0356592613085725
"233A",7261.38610433496,0
"233G",7261.38610433496,0.00165477715407468
"234A",7261.38610433496,0
"234G",7261.38610433496,0
"235A",7261.38610433496,0.000473302892213709
"235G",7261.38610433496,0
"236A",7261.38610433496,0.000346854259066259
"236G",7261.38610433496,0
"237A",7261.38610433496,0
"237G",7261.38610433496,0
"238A",7261.38610433496,0
"238G",7261.38610433496,0
"239A",7261.38610433496,0.000827512665119258
"239G",7261.38610433496,0.00165767020774459
"240A",7261.38610433496,0.00519328004617415
"240G",7261.38610433496,0.00248216574135284
"241A",7261.38610433496,0.0673614705530469
"241G",7261.38610433496,0.013696114441461
"242A",7261.38610433496,0
"242G",7261.38610433496,0.0224312609583704
"243A",7261.38610433496,0
"243G",7261.38610433496,0
"244A",7261.38610433496,0
"244G",7261.38610433496,0
"245A",7261.38610433496,0
"245G",7261.38610433496,0
