fuelModelType,loadLitter,load1hr,load10hr,load100hr,loadLiveHerb,loadLiveWoody,savLitter,sav1hr,sav10hr,sav100hr,savLiveHerb,savLiveWoody,fuelBedDepth,mxDead,heat,description,slope,totalLoad_g_m2,CWDSource,herbSource
D,0.48435,0.357285879,0,0,0.52845,0,0,2093,358,98,5906,2093,25.4375,15,16890,201A,8,137.0085879,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0.84145,1.414390942,0,0,1.0722,0,0,2093,358,98,5906,2093,32.6125,15,16890,201G,3.3,332.8040942,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0.43555,0.040402635,0.760977243,0,1.02485,0,0,2093,358,98,5906,2093,33.25,15,16890,202A,2.7,226.1779878,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0.1179,0.202134298,0,0,0.4727,0,0,2093,358,98,5906,2093,26.5625,15,16890,202G,2,79.2734298,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0.47775,0.40399,0,0,0.4679,0,0,2093,358,98,5906,2093,32.1875,15,16890,203A,1.3,134.964,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0.6367,0.202152457,0,0,1.11775,0,0,2093,358,98,5906,2093,37.8125,15,16890,203G,4.3,195.6602457,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,1.4743,0.080789114,0,0,0.28705,0,0,2093,358,98,5906,2093,15.2125,15,16890,204A,3,184.2139114,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,2.1267,0,0.254257107,0,0.40609,0.073171334,0,2093,358,98,5906,2093,26.625,15,16890,204G,6.3,286.0218441,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0.8223,0.686935648,0,0,0.2347,0,0,2093,358,98,5906,2093,19.5,15,16890,205A,1.7,174.3935648,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0.88835,2.54512973,0,0,2.0309,0,0,2093,358,98,5906,2093,32.925,15,16890,205G,1.3,546.437973,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0.62755,0.080793153,0,0,1.94425,0,0,2093,358,98,5906,2093,47.6875,15,16890,206A,2.7,265.2593153,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,1.0344,0.040523613,0,0,1.86615,0,0,2093,358,98,5906,2093,40.8125,15,16890,206G,6.7,294.1073613,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0.45495,0.243020702,0,0,0.60005,0,0,2093,358,98,5906,2093,26.8125,15,16890,207A,4.3,129.8020702,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,1.1385,1.092404944,0,0,0.4931,0,0,2093,358,98,5906,2093,8,15,16890,207G,6,272.4004944,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0.8392,0,0,0,1.0593,0,0,2093,358,98,5906,2093,29.9375,15,16890,208A,2.7,189.85,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0.64125,0,0,0,0.62955,0,0,2093,358,98,5906,2093,13.1875,15,16890,208G,3,127.08,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0.5899,0.565701458,0,0,1.60855,0,0,2093,358,98,5906,2093,47.75,15,16890,209A,5.3,276.4151458,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0.91085,0.52712288,0,0,1.7054,0,0,2093,358,98,5906,2093,36.8125,15,16890,209G,8.3,314.337288,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0.42475,0,0,0,0.96585,0,0,2093,358,98,5906,2093,38.1875,15,16890,210A,8,139.06,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
D,0.31405,0.161596401,0,0,0.46025,0,0,2093,358,98,5906,2093,15.625,15,16890,210G,3,93.5896401,Scott (1999),"Dry Climate Grass, Scott & Burgan (2005)"
